Channel,Date,New fans,Region,Fans
Facebook,2/12/2014 0:00,0,Australia,111380
Facebook,2/12/2014 0:00,0,India,337694
Facebook,2/12/2014 0:00,0,Indonesia,288741
Facebook,2/12/2014 0:00,0,Malaysia,210256
Facebook,2/12/2014 0:00,0,New Zealand,27565
Facebook,2/12/2014 0:00,0,Philippines,50355
Facebook,2/12/2014 0:00,0,Singapore,86369
Instagram,2/12/2014 0:00,0,Australia,17021
Instagram,2/12/2014 0:00,0,India,13601
Instagram,2/12/2014 0:00,0,Indonesia,36579
Instagram,2/12/2014 0:00,0,Malaysia,7483
Instagram,2/12/2014 0:00,0,New Zealand,1626
Instagram,2/12/2014 0:00,0,Singapore,4025
Twitter,2/12/2014 0:00,0,Australia,4612
Twitter,2/12/2014 0:00,0,India,9726
Twitter,2/12/2014 0:00,0,Indonesia,104178
Twitter,2/12/2014 0:00,0,Malaysia,4466
Twitter,2/12/2014 0:00,0,New Zealand,4862
Twitter,2/12/2014 0:00,0,Philippines,2550
Twitter,2/12/2014 0:00,0,Singapore,217
Facebook,3/12/2014 0:00,0,Australia,111380
Facebook,3/12/2014 0:00,0,India,337694
Facebook,3/12/2014 0:00,0,Indonesia,288741
Facebook,3/12/2014 0:00,0,Malaysia,210256
Facebook,3/12/2014 0:00,0,New Zealand,27565
Facebook,3/12/2014 0:00,0,Philippines,50355
Facebook,3/12/2014 0:00,0,Singapore,86369
Instagram,3/12/2014 0:00,0,Australia,17021
Instagram,3/12/2014 0:00,0,India,13601
Instagram,3/12/2014 0:00,0,Indonesia,36579
Instagram,3/12/2014 0:00,0,Malaysia,7483
Instagram,3/12/2014 0:00,0,New Zealand,1626
Instagram,3/12/2014 0:00,0,Singapore,4025
Twitter,3/12/2014 0:00,0,Australia,4612
Twitter,3/12/2014 0:00,0,India,9726
Twitter,3/12/2014 0:00,0,Indonesia,104178
Twitter,3/12/2014 0:00,0,Malaysia,4466
Twitter,3/12/2014 0:00,0,New Zealand,4862
Twitter,3/12/2014 0:00,0,Philippines,2550
Twitter,3/12/2014 0:00,0,Singapore,217
Facebook,4/12/2014 0:00,0,Australia,111380
Facebook,4/12/2014 0:00,0,India,337694
Facebook,4/12/2014 0:00,0,Indonesia,288741
Facebook,4/12/2014 0:00,0,Malaysia,210256
Facebook,4/12/2014 0:00,0,New Zealand,27565
Facebook,4/12/2014 0:00,0,Philippines,50355
Facebook,4/12/2014 0:00,0,Singapore,86369
Instagram,4/12/2014 0:00,0,Australia,17021
Instagram,4/12/2014 0:00,0,India,13601
Instagram,4/12/2014 0:00,0,Indonesia,36579
Instagram,4/12/2014 0:00,0,Malaysia,7483
Instagram,4/12/2014 0:00,0,New Zealand,1626
Instagram,4/12/2014 0:00,0,Singapore,4025
Twitter,4/12/2014 0:00,0,Australia,4612
Twitter,4/12/2014 0:00,0,India,9726
Twitter,4/12/2014 0:00,0,Indonesia,104178
Twitter,4/12/2014 0:00,0,Malaysia,4466
Twitter,4/12/2014 0:00,0,New Zealand,4862
Twitter,4/12/2014 0:00,0,Philippines,2550
Twitter,4/12/2014 0:00,0,Singapore,217
Facebook,5/12/2014 0:00,0,Australia,111380
Facebook,5/12/2014 0:00,0,India,337694
Facebook,5/12/2014 0:00,0,Indonesia,288741
Facebook,5/12/2014 0:00,0,Malaysia,210256
Facebook,5/12/2014 0:00,0,New Zealand,27565
Facebook,5/12/2014 0:00,0,Philippines,50355
Facebook,5/12/2014 0:00,0,Singapore,86369
Instagram,5/12/2014 0:00,0,Australia,17021
Instagram,5/12/2014 0:00,0,India,13601
Instagram,5/12/2014 0:00,0,Indonesia,36579
Instagram,5/12/2014 0:00,0,Malaysia,7483
