Serial|Year|Award|Winner|Film|Names,,,,,,,,,,,
1|1990|Short Film (Live Action)|0|12:01|Hillary Ripps, Jonathan Heap,,,,,,,,,,
2|2005|Short Film (Animated)|0|9|Shane Acker,,,,,,,,,,,
3|1979|Music (Original Score)|0|10|Henry Mancini,,,,,,,,,,,
4|2007|Foreign Language Film|0|12|Russia,,,,,,,,,,,
5|1972|Cinematography|0|1776|Harry Stradling, Jr.,,,,,,,,,,
6|1979|Cinematography|0|1941|William A. Fraker,,,,,,,,,,,
7|1979|Sound|0|1941|Robert Knudson, Robert J. Glass, Don MacDougall, Gene S. Cantamessa,,,,,,,,
8|1979|Visual Effects|0|1941|William A. Fraker, A. D. Flowers, Gregory Jein,,,,,,,,,
9|1984|Art Direction|0|2010|Art Direction: Albert Brenner; Set Decoration: Rick Simpson,,,,,,,,,,,
10|1984|Costume Design|0|2010|Patricia Norris,,,,,,,,,,,
11|1984|Makeup|0|2010|Michael Westmore,,,,,,,,,,,
12|1984|Sound|0|2010|Michael J. Kohut, Aaron Rochin, Carlos De Larios, Gene S. Cantamessa,,,,,,,,
13|1984|Visual Effects|0|2010|Richard Edlund, Neil Krepela, George Jenson, Mark Stetson,,,,,,,,
14|1979|Actor in a Leading Role|0|...And Justice for All|Al Pacino,,,,,,,,,,,
15|1979|Writing (Screenplay Written Directly for the Screen)|0|...And Justice for All |Valerie Curtin, Barry Levinson,,,,,,,,,,
16|1986|Foreign Language Film|0|'38' |Austria,,,,,,,,,,,
17|1986|Writing (Screenplay Written Directly for the Screen)|0|'Crocodile' Dundee |Screenplay by Paul Hogan, Ken Shadie, John Cornell; Story by Paul Hogan,,,,,,,,,
18|1986|Actor in a Leading Role|0|'Round Midnight|Dexter Gordon,,,,,,,,,,,
19|1986|Music (Original Score)|1|'Round Midnight |Herbie Hancock,,,,,,,,,,,
20|2003|Short Film (Live Action)|0|(A) Torzija [(A) Torsion] |Stefan Arsenijevi¬ø,,,,,,,,,,,
21|2006|Short Film (Live Action)|0|?âramos Pocos (One Too Many) |Borja Cobeaga,,,,,,,,,,,
22|1969|Foreign Language Film|0|?Ödalen '31 |Sweden,,,,,,,,,,,
23|2000|Costume Design|0|102 Dalmatians |Anthony Powell,,,,,,,,,,,
24|1957|Best Motion Picture|0|12 Angry Men |Henry Fonda and Reginald Rose, Producers,,,,,,,,,,
25|1957|Directing|0|12 Angry Men |Sidney Lumet,,,,,,,,,,,
26|1957|Writing (Screenplay, Based on Material from Another Medium)|0|12 Angry Men |Reginald Rose,,,,,,,,,,
27|1995|Actor in a Supporting Role|0|12 Monkeys|Brad Pitt,,,,,,,,,,,
28|1995|Costume Design|0|12 Monkeys |Julie Weiss,,,,,,,,,,,
29|2013|Actor in a Leading Role|0|12 Years a Slave|Chiwetel Ejiofor,,,,,,,,,,,
30|2013|Actor in a Supporting Role|0|12 Years a Slave|Michael Fassbender,,,,,,,,,,,
31|2013|Actress in a Supporting Role|1|12 Years a Slave|Lupita Nyong'o,,,,,,,,,,,
32|2013|Best Picture|1|12 Years a Slave |Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers,,,,,,,
33|2013|Costume Design|0|12 Years a Slave |Patricia Norris,,,,,,,,,,,
34|2013|Directing|0|12 Years a Slave |Steve McQueen,,,,,,,,,,,
35|2013|Film Editing|0|12 Years a Slave |Joe Walker,,,,,,,,,,,
36|2013|Production Design|0|12 Years a Slave |Production Design: Adam Stockhausen; Set Decoration: Alice Baker,,,,,,,,,,,
37|2013|Writing (Adapted Screenplay)|1|12 Years a Slave |Screenplay by John Ridley,,,,,,,,,,,
38|2010|Actor in a Leading Role|0|127 Hours|James Franco,,,,,,,,,,,
39|2010|Best Picture|0|127 Hours |Christian Colson, Danny Boyle and John Smithson, Producers,,,,,,,,,
40|2010|Film Editing|0|127 Hours |Jon Harris,,,,,,,,,,,
41|2010|Music (Original Score)|0|127 Hours |A.R. Rahman,,,,,,,,,,,
42|2010|Writing (Adapted Screenplay)|0|127 Hours |Screenplay by Danny Boyle & Simon Beaufoy,,,,,,,,,,,
43|1964|Documentary (Short Subject)|0|140 Days under the World |Geoffrey Scott and Oxley Hughan, Producers,,,,,,,,,,
44|2013|Documentary (Feature)|1|20 Feet from Stardom |Morgan Neville, Gil Friesen and Caitrin Rogers,,,,,,,,,,
45|1954|Art Direction (Color)|1|20,000 Leagues under the Sea |Art Direction: John Meehan; Set Decoration: Emile Kuri,,,,,,,,,,
46|1954|Film Editing|0|20,000 Leagues under the Sea |Elmo Williams,,,,,,,,,,
47|1954|Special Effects|1|20,000 Leagues under the Sea |Walt Disney Studios,,,,,,,,,,
48|1968|Art Direction|0|2001: A Space Odyssey |Art Direction: Tony Masters, Harry Lange, Ernie Archer,,,,,,,,,
49|1968|Directing|0|2001: A Space Odyssey |Stanley Kubrick,,,,,,,,,,,
50|1968|Special Visual Effects|1|2001: A Space Odyssey |Stanley Kubrick,,,,,,,,,,,
51|1968|Writing (Story and Screenplay, Written Directly for the Screen)|0|2001: A Space Odyssey |Stanley Kubrick, Arthur C. Clarke,,,,,,,,,
52|1953|Honorary Award|1|20th Century-Fox Film Corporation|,,,,,,,,,,,
53|2003|Actor in a Supporting Role|0|21 Grams|Benicio Del Toro,,,,,,,,,,,
54|2003|Actress in a Leading Role|0|21 Grams|Naomi Watts,,,,,,,,,,,
55|1955|Short Subject (Two Reel)|0|24-Hour Alert |Cedric Francis, Producer,,,,,,,,,,
56|1999|Short Film (Animated)|0|3 Misses |Paul Driessen,,,,,,,,,,,
57|2007|Music (Original Score)|0|3:10 to Yuma |Marco Beltrami,,,,,,,,,,,
58|2007|Sound Mixing|0|3:10 to Yuma |Paul Massey, David Giammarco and Jim Stuebe,,,,,,,,,,
59|1955|Short Subject (One Reel)|0|3rd Ave. El |Carson Davidson, Producer,,,,,,,,,,
60|1997|Documentary (Feature)|0|4 Little Girls |Spike Lee, Sam Pollard,,,,,,,,,,
61|2015|Actress in a Leading Role|0|45 Years|Charlotte Rampling,,,,,,,,,,,
62|2012|Documentary (Feature)|0|5 Broken Cameras |Emad Burnat and Guy Davidi,,,,,,,,,,,
63|1963|Music (Music Score, Substantially Original)|0|55 Days at Peking |Dimitri Tiomkin,,,,,,,,,,
64|1964|Special Visual Effects|0|7 Faces of Dr. Lao |Jim Danforth,,,,,,,,,,,
65|2004|Short Film (Live Action)|0|7:35 in the Morning (7:35 de la Ma?±ana) |Nacho Vigalondo,,,,,,,,,,,
66|1994|Documentary (Short Subject)|0|89mm od Europy (89mm from Europe) |Marcel Lozinski,,,,,,,,,,,
67|2001|Actor in a Leading Role|0|A Beautiful Mind|Russell Crowe,,,,,,,,,,,
68|2001|Actress in a Supporting Role|1|A Beautiful Mind|Jennifer Connelly,,,,,,,,,,,
69|2001|Best Picture|1|A Beautiful Mind |Brian Grazer and Ron Howard, Producers,,,,,,,,,,
70|2001|Directing|1|A Beautiful Mind |Ron Howard,,,,,,,,,,,
71|2001|Film Editing|0|A Beautiful Mind |Mike Hill, Dan Hanley,,,,,,,,,,
72|2001|Makeup|0|A Beautiful Mind |Greg Cannom, Colleen Callaghan,,,,,,,,,,
73|2001|Music (Original Score)|0|A Beautiful Mind |James Horner,,,,,,,,,,,
74|2001|Writing (Screenplay Based on Material Previously Produced or Published)|1|A Beautiful Mind |Written by Akiva Goldsman,,,,,,,,,,,
75|2011|Actor in a Leading Role|0|A Better Life|Demi?°n Bichir,,,,,,,,,,,
76|1970|Music (Original Song Score)|0|A Boy Named Charlie Brown |Music by Rod McKuen and John Scott Trotter; lyrics by Rod McKuen, Bill Melendez and Al Shean; adaptation score by Vince Guaraldi,,,,,,,,,,
77|1998|Music (Original Musical or Comedy Score)|0|A Bug's Life |Randy Newman,,,,,,,,,,,
78|2011|Animated Feature Film|0|A Cat in Paris |Alain Gagnol and Jean-Loup Felicioli,,,,,,,,,,,
79|1958|Art Direction|0|A Certain Smile |Art Direction: Lyle R. Wheeler, John DeCuir; Set Decoration: Walter M. Scott, Paul S. Fox,,,,,,,,,
80|1958|Costume Design|0|A Certain Smile |Charles LeMaire, Mary Wills,,,,,,,,,,
81|1957|Short Subject (Live Action)|0|A Chairy Tale |Norman McLaren, Producer,,,,,,,,,,
82|1996|Foreign Language Film|0|A Chef in Love |Georgia,,,,,,,,,,,
83|1985|Film Editing|0|A Chorus Line |John Bloom,,,,,,,,,,,
84|1985|Sound|0|A Chorus Line |Donald O. Mitchell, Michael Minkler, Gerry Humphreys, Chris Newman,,,,,,,,
85|1972|Short Subject (Animated)|1|A Christmas Carol |Richard Williams, Producer,,,,,,,,,,
86|1960|Documentary (Short Subject)|0|A City Called Copenhagen |Statens Filmcentral, The Danish Government Film Office,,,,,,,,,,
87|1956|Documentary (Short Subject)|0|A City Decides |Charles Guggenheim & Associates, Inc.,,,,,,,,,,
88|1998|Actor in a Supporting Role|0|A Civil Action|Robert Duvall,,,,,,,,,,,
89|1998|Cinematography|0|A Civil Action |Conrad L. Hall,,,,,,,,,,,
90|1971|Best Picture|0|A Clockwork Orange |Stanley Kubrick, Producer,,,,,,,,,,
91|1971|Directing|0|A Clockwork Orange |Stanley Kubrick,,,,,,,,,,,
92|1971|Film Editing|0|A Clockwork Orange |Bill Butler,,,,,,,,,,,
93|1971|Writing (Screenplay, Based on Material from Another Medium)|0|A Clockwork Orange |Stanley Kubrick,,,,,,,,,,
94|1995|Short Film (Animated)|1|A Close Shave |Nick Park,,,,,,,,,,,
95|1988|Actress in a Leading Role|0|A Cry in the Dark|Meryl Streep,,,,,,,,,,,
96|1975|Short Film (Live Action)|0|A Day in the Life of Bonnie Consolo |Barry Spinello, Producer,,,,,,,,,,
97|1978|Short Film (Live Action)|0|A Different Approach |Jim Belcher and Fern Field, Producers,,,,,,,,,,
98|1989|Actor in a Supporting Role|0|A Dry White Season|Marlon Brando,,,,,,,,,,,
99|1957|Actor in a Supporting Role|0|A Farewell to Arms|Vittorio De Sica,,,,,,,,,,,
100|1992|Actor in a Supporting Role|0|A Few Good Men|Jack Nicholson,,,,,,,,,,,
101|1992|Best Picture|0|A Few Good Men |David Brown, Rob Reiner and Andrew Scheinman, Producers,,,,,,,,,
102|1992|Film Editing|0|A Few Good Men |Robert Leighton,,,,,,,,,,,
103|1992|Sound|0|A Few Good Men |Kevin O'Connell, Rick Kline, Bob Eber,,,,,,,,,
104|1968|Documentary (Feature)|0|A Few Notes on Our Food Problem |James Blue, Producer,,,,,,,,,,
105|1988|Actor in a Supporting Role|1|A Fish Called Wanda|Kevin Kline,,,,,,,,,,,
106|1988|Directing|0|A Fish Called Wanda |Charles Crichton,,,,,,,,,,,
107|1988|Writing (Screenplay Written Directly for the Screen)|0|A Fish Called Wanda |Screenplay by John Cleese; Story by John Cleese, Charles Crichton,,,,,,,,,,
108|1966|Music (Scoring of Music, Adaptation or Treatment)|1|A Funny Thing Happened on the Way to the Forum |Ken Thorne,,,,,,,,,,
109|1963|Sound Effects|0|A Gathering of Eagles |Robert L. Bratton,,,,,,,,,,,
110|2015|Documentary (Short Subject)|1|A Girl in the River: The Price of Forgiveness|Sharmeen Obaid-Chinoy,,,,,,,,,,,
111|1990|Short Film (Animated)|0|A Grand Day Out |Nick Park,,,,,,,,,,,
112|1994|Documentary (Feature)|0|A Great Day in Harlem |Jean Bach,,,,,,,,,,,
113|1986|Short Film (Animated)|1|A Greek Tragedy |Linda Van Tulden and Willem Thijssen, Producers,,,,,,,,,,
114|1988|Costume Design|0|A Handful of Dust |Jane Robinson,,,,,,,,,,,
115|1964|Music (Scoring of Music, Adaptation or Treatment)|0|A Hard Day's Night |George Martin,,,,,,,,,,
116|1964|Writing (Story and Screenplay, Written Directly for the Screen)|0|A Hard Day's Night |Alun Owen,,,,,,,,,,
117|1957|Actor|0|A Hatful of Rain|Anthony Franciosa,,,,,,,,,,,
118|2005|Actor in a Supporting Role|0|A History of Violence|William Hurt,,,,,,,,,,,
119|2005|Writing (Adapted Screenplay)|0|A History of Violence |Screenplay by Josh Olson,,,,,,,,,,,
120|1964|Costume Design (Black and White)|0|A House Is Not a Home |Edith Head,,,,,,,,,,,
121|1980|Short Film (Dramatic Live Action)|0|A Jury of Her Peers |Sally Heckel, Producer,,,,,,,,,,
122|1967|Documentary (Feature)|0|A King's Story |Jack Le Vien, Producer,,,,,,,,,,
123|1977|Costume Design|0|A Little Night Music |Florence Klotz,,,,,,,,,,,
124|1977|Music (Original Song Score and Its Adaptation or Adaptation Score)|1|A Little Night Music |Adaptation Score by Jonathan Tunick,,,,,,,,,,,
125|1995|Art Direction|0|A Little Princess |Art Direction: Bo Welch; Set Decoration: Cheryl Carasik,,,,,,,,,,,
126|1995|Cinematography|0|A Little Princess |Emmanuel Lubezki,,,,,,,,,,,
127|1979|Music (Original Score)|1|A Little Romance |Georges Delerue,,,,,,,,,,,
128|1979|Writing (Screenplay Based on Material from Another Medium)|0|A Little Romance |Allan Burns,,,,,,,,,,,
129|1991|Documentary (Short Subject)|0|A Little Vicious |Immy Humes, Producer,,,,,,,,,,
130|1970|Documentary (Short Subject)|0|A Long Way from Nowhere |Bob Aller, Producer,,,,,,,,,,
131|1961|Cinematography (Color)|0|A Majority of One |Harry Stradling, Sr.,,,,,,,,,,
132|1966|Actress|0|A Man and a Woman|Anouk Aimee,,,,,,,,,,,
133|1966|Directing|0|A Man and a Woman |Claude Lelouch,,,,,,,,,,,
134|1966|Foreign Language Film|1|A Man and a Woman |France,,,,,,,,,,,
135|1966|Writing (Story and Screenplay, Written Directly for the Screen)|1|A Man and a Woman |Story by Claude Lelouch; Screenplay by Claude Lelouch, Pierre Uytterhoeven,,,,,,,,,
136|1955|Cinematography (Color)|0|A Man Called Peter |Harold Lipstein,,,,,,,,,,,
137|1966|Actor|1|A Man for All Seasons|Paul Scofield,,,,,,,,,,,
138|1966|Actor in a Supporting Role|0|A Man for All Seasons|Robert Shaw,,,,,,,,,,,
139|1966|Actress in a Supporting Role|0|A Man for All Seasons|Wendy Hiller,,,,,,,,,,,
140|1966|Best Picture|1|A Man for All Seasons |Fred Zinnemann, Producer,,,,,,,,,,
